1,22DUNK,TECHNO,SLAKE,0,135,22dunk,,,
2,5.1.1.,PIANO AMBIENT,dj nagureo,0,101,511_hs,,,
3,Dr.LOVE,DANCE POP,baby weapon  feat.Asuka.M,0,123,drlove,,,
4,GAMBOL,BIG BEAT,SLAKE,0,102,gambolhs,,,
5,GRADIUSIC CYBER,DIGI-ROCK,TAKA,0,159-167,gracyber,,,
6,R3,RAVE,tiger YAMATO,0,157,r3,,,
7,deep in you,DANCE POP,dj nagureo,1,126,deepindd,,,
8,GENOM SCREAMS,TRANCE,L.E.D. LIGHT,1,150,genom,,,
9,gentle stress,DRUM'N'BASS,DJ Swan,1,175,gentle27,,,
10,KEEP ON MOVIN',DANCE POP,N.M.R.,1,132,keepon15,,,
11,Macho Gang,TRIBAL HOUSE,ANAL SPYDER,1,125,macho,,,
12,PARANOIA MAX～DIRTY MIX～,JUNGLE,190,1,190,paramax,,,
13,RUGGED ASH,FUTURE JAZZ,SYMPHONIC DEFOGGERS,1,168,rugged,,,
14,THE EARTH LIGHT,TRANCE,L.E.D. LIGHT,1,145,theearth,,,
15,.59,CHILL OUT,dj TAKA,2,123-135,_59,,,
16,Digital MinD(A/T Libra mix),MINIMAL,TaQ,2,155,digital,,,
17,Electro Tuned(the SubS mix),BIG BEAT,TaQ,2,125,eletune,,,
18,I Was The One,ITALO HOUSE,good-cool,2,125,iwasone,,,
19,Indigo Vision(full flavour hide around mix),GOA TRANCE,TaQ,2,155,indigo,,,
20,PUT YOUR FAITH IN ME(for beatmania II),JAZZ FUNK,dj TAKA feat. UZI-LAY,2,127,putyour,,,
21,SP-TRIP MACHINE(for beatmania II),JUNGLE,dj TAKA feat. DE-SIRE,2,168,sptrip,,,
22,CAN'T STOP FALLIN'IN LOVE,HYPER EUROBEAT,NAOKI,3,155,cantstop,,,
23,Don't Stop!,HAPPY HANDBAG,dj TAKA feat. JP Miles,3,130,dontstop,,,
24,era (nostalmix),DRUM'N'BASS,TaQ,3,90-180,eranos,,,
25,Holic,HARD TECHNO,TaQ,3,155,holic,,,
26,LEADING CYBER,DIGI-ROCK,dj TAKA,3,150,leading,,,
27,Presto,PIANO AMBIENT,Osamu Kubota,3,136,presto,,,
28,R5,RAVE,tigerYAMATO with ultrabeatbox,3,180,r5,,,
29,REINCARNATION,TRANCE,dj TAKA,3,145,reincar,,,
30,Schlagwerk,BIG BEAT,TaQ,3,125,schlag,,,
31,Skyscraper,EPIC HOUSE,good-cool,3,135,scraper,,,
32,Tangerine Stream,AMBIENT,dj TAKA,3,84,tange_hs,,,
33,THE SAFARI,WORLD HOUSE,Lion Musashi,3,150,t_safari,,,
34,250bpm,GABBA,AKIRA YAMAOKA,4,250,250bpm,,,
35,ABSOLUTE,EPIC TRANCE,dj TAKA,4,60-144,absolute,,,
36,B4U,SPEED RAVE,NAOKI,4,155,b4u,,,
37,Broken My Heart,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,4,160,broken,,,
38,Burnin' The Floor,EURO GROOVE,NAOKI,4,155,burnflr,,,
39,CHECKING YOU OUT,HIP HOP,good-cool feat. JP Miles,4,108-216,checking,,,
40,Clione,DUTCH TRANCE,kors k,4,148,clione,,,
41,DXY!,TECHNO,TaQ,4,148,dxy,,,
42,empathy,DRUM'N'BASS,TaQ,4,170,empathy,,,
43,era (step mix),DRUM'N'BASS,TaQ,4,90-180,erastep,,,
44,FLOWERS for ALBION,AMBIENT,dj TAKA,4,70-93,flowers,,,
45,HIGHER,DANCE POP,NM feat. Sunny,4,132,higher,,,
46,Hitch Hiker2,WARP HOUSE,good-cool,4,137,hitch228,,,
47,Jam&Marmalade,WARP HOUSE,FinalOffset,4,145,jamarma,,,
48,KAMIKAZE,TECHNO,dj nagureo,4,130,kamikaze,,,
49,LOVE WILL・・・,TRANCE,riewo,4,144,lovewill,,,
50,minimalian,MINIMAL,DETROIAN,4,141,mnmlian,,,
51,Mr.T.(take me higher),DANCE POP,Risky Men  feat.Asuka-M,4,128,mr_t,,,
52,starmine,HAPPY HARDCORE,Ryu☆,4,182,starmine,,,
53,SWEET LAB,LOUNGE HOUSE,DJ SIMON,4,120,swtlab24,,,
54,Voltage (feat. Hidemaru),BIG BEAT,TaQ,4,30-125,voltage,,,
55,Abyss,INTELLIGENCE,dj TAKA,5,142,abyss,,,
56,in my eyes,TRANCE,ric,5,142,inmyeyes,,,
57,LOVE AGAIN TONIGHT～for Mellisa mix～,HYPER EUROBEAT,NAOKI feat.PAULA TERRY,5,150,loveage,,,
58,outer wall,TECHNO,sampling masters MEGA,5,149,outwall,,,
59,QQQ,TECHNO,TaQ,5,155,qqq,,,
60,Radical Faith,BIG BEAT,TaQ,5,114,radical,,,
61,Real,DRUM'N'BASS,Aya,5,200,real,,,
62,Regulus,INSTRUMENTAL,DJ.W,5,120-128,regulus,,,
63,RIDE ON THE LIGHT (HI GREAT MIX),POWER FUSION,Mr.T,5,180,rideon,,,
64,RISLIM,NEW ROMANTIC,ric,5,130,rislim,,,
65,Spin the disc,HOUSE,good-cool,5,130,spin,,,
66,STILL IN MY HEART,HYPER EUROBEAT,NAOKI,5,150,stheart,,,
67,still my words,AMBIENT,TaQ feat. Meg,5,136,stwords,,,
68,sync,TRANCE,OutPhase (TaQ/dj TAKA),5,167,sync,,,
69,THE CUBE,DRUM'N'BASS,DJ SUWAMI,5,178,thecube,,,
70,THE SHINING POLARIS,EPIC TRANCE,L.E.D. feat. Sana,5,147,tpola_17,,,
71,V,PROGRESSIVE,TAKA,5,150,v_taka,,,
72,19，November,HOUSE,good-cool,6,125,19novem,,,
73,BALLAD FOR YOU～想いの雨～,BALLAD,NM feat.Thomas Howard,6,65,ballad,,,
74,Blueberry Stream,HOUSE,dj TAKA,6,138,bluebry,,,
75,Buffalo,ROCK,good-cool feat. Hideo Suwa,6,108,buffalo,,,
76,Colors (radio edit),TRANCE,dj TAKA,6,150,colors,,,
77,DIVE ～INTO YOUR HEART～,HYPER TRANCE EURO BEAT,NAOKI feat.PAULA TERRY,6,155,dive,,,
78,fly through the night,TRANCE,Mr.T,6,140,ftn,,,
79,Free Style,DANCE POP,Shapes,6,132,frestyl,,,
80,Frozen Ray (original mix),TRANCE,dj TAKA,6,156,frozen,,,
81,G2,DRUM'N'BASS,Aya,6,170,g2,,,
82,Linus,LOUNGE POP,LEGO STUDIO,6,160-176,linus,,,
83,NEMESIS,TECHNO,D.J.SETUP,6,164,nemesis,,,
84,rottel-da-sun,ROTTERDAM TECHNO,sampling masters MEGA,6,200,rotsun,,,
85,route 80s,NOISY,sampling masters MEGA,6,122,r80s_emp,,,
86,SOMETHING WONDERFUL,EPIC TRANCE,L.E.D.,6,150,somewonc,,,
87,Summer Vacation(CU mix),TRIP HOP,OutPhase,6,135,summer,,,
88,Take It Easy,INSTRUMENTAL,Aya,6,205,take_ez,,,
89,VJ ARMY,ALL MIX,good-cool,6,135-160,vjarmy26,,,
90,こっちを向いてよ,SOUL,vivi,6,128,_kotti,,,
91,電人イェーガーのテーマ(Theme of DENJIN J),NU-NRG,L.E.D.,6,155,_theme_j,,,
92,A,RENAISSANCE,D.J.Amuro,7,93-191,a_amuro,,,
93,AVE DE RAPINA,ALTERNATIVE HOUSE,Shawn The Horny Master,7,125,ave_rapi,,,
94,Bad Routine,FILTER HOUSE,D.J. Spugna,7,130,bad_rtn,,,
95,Burning Heat! (Full Option Mix),12 BEAT,Mr.T with Motoaki.F,7,166,burnheat,,,
96,Cheer Train,BIG BEAT,Fuzita Blender,7,120,cheertra,,,
97,D2R,HYPER ROCK BEAT,NAOKI,7,160,d2r,,,
98,DESTINY,HYPER EUROBEAT,NAOKI feat.Paula Terry,7,155,destiny,,,
99,foreplay,PROGRESSIVE JAZZ,Osamu Kubota,7,140,foreplay,,,
